target	status	commit	ci_job
heudiconv_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709064
hmri | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300916095
hnncore | x86_64	success	7d8abce65b8ac512e15d0f97795f44a82473d9b1	https://github.com/neurodesk/neurocontainers/actions/runs/34141121164/job/101803171395
hnncore_arm64 | aarch64	success	7d8abce65b8ac512e15d0f97795f44a82473d9b1	https://github.com/neurodesk/neurocontainers/actions/runs/34141121164/job/101803171317
hypermapp3r | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772155309
ilastik | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772155663
irkernel | x86_64	success	825e01afaf06100ae74ca1ac0203a8a85b807b35	https://github.com/neurodesk/neurocontainers/actions/runs/34139942291/job/101799499078
irkernel_arm64 | aarch64	success	825e01afaf06100ae74ca1ac0203a8a85b807b35	https://github.com/neurodesk/neurocontainers/actions/runs/34139942291/job/101799499040
itksnap | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300916310
jamovi | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300916371
jidt | x86_64	success	4002db21ea32127232f7dd3fcf57bba5088998e5	https://github.com/neurodesk/neurocontainers/actions/runs/34315697258/job/102351363834
julia | x86_64	success	777a50730f24124e9e4dfb8834c298d0571f3901	https://github.com/neurodesk/neurocontainers/actions/runs/34139694268/job/101798708158
julia_arm64 | aarch64	success	777a50730f24124e9e4dfb8834c298d0571f3901	https://github.com/neurodesk/neurocontainers/actions/runs/34139694268/job/101798708138
lashis | x86_64	success	868380067fa08e42c2f88cf548e9a9136c093976	https://github.com/neurodesk/neurocontainers/actions/runs/34315574052/job/102350987539
laynii | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772156295
lcmodel | x86_64	success	7d8abce65b8ac512e15d0f97795f44a82473d9b1	https://github.com/neurodesk/neurocontainers/actions/runs/34141121164/job/101803171324
lesionquantificationtoolkit | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772156719
lesymap | x86_64	success	825e01afaf06100ae74ca1ac0203a8a85b807b35	https://github.com/neurodesk/neurocontainers/actions/runs/34139942291/job/101799499120
libreoffice | x86_64	success	69901ceee8f6315aa7d6cece357ad72d7817b9a2	https://github.com/neurodesk/neurocontainers/actions/runs/34300461592/job/102306111506
libreoffice_arm64 | aarch64	success	69901ceee8f6315aa7d6cece357ad72d7817b9a2	https://github.com/neurodesk/neurocontainers/actions/runs/34300461592/job/102306111498
linda | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772156879
lipsia | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300916635
lqt | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772157329
lqt_arm64 | aarch64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772157349
lstai | x86_64	success	5922777f2d97afc59d0bcb377c74095d5cc8c7d8	https://github.com/neurodesk/neurocontainers/actions/runs/34142766712/job/101808255955
matlab | x86_64	success	868380067fa08e42c2f88cf548e9a9136c093976	https://github.com/neurodesk/neurocontainers/actions/runs/34315574052/job/102350987550
matlabruntime | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300916734
mede | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300916832
mede_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709209
meganorm | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300917124
megnet | x86_64	success	2f358f23b2008560a471b1845ad34fce84ec829b	https://github.com/neurodesk/neurocontainers/actions/runs/34284995528/job/102258455367
meica | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772158004
metabody | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772158341
mfcsc | x86_64	success	777a50730f24124e9e4dfb8834c298d0571f3901	https://github.com/neurodesk/neurocontainers/actions/runs/34139694268/job/101798708282
mgltools | x86_64	success	bd4202a19f3fde3f797abb32dda00a77414e902f	https://github.com/neurodesk/neurocontainers/actions/runs/34143900281/job/101811683005
micapipe | x86_64	success	76b40361adad6429bc2b2a71839f09bc0d63eac9	https://github.com/neurodesk/neurocontainers/actions/runs/34143922108/job/101811771417
mimosa | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772158727
minc | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772159003
mipav | x86_64	success	76b40361adad6429bc2b2a71839f09bc0d63eac9	https://github.com/neurodesk/neurocontainers/actions/runs/34143922108/job/101811771327
mipav_arm64 | aarch64	success	76b40361adad6429bc2b2a71839f09bc0d63eac9	https://github.com/neurodesk/neurocontainers/actions/runs/34143922108/job/101811771403
mipview | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772159643
mitkdiffusion | x86_64	success	384df034031e2181e602fa90a0dc17fc2331916b	https://github.com/neurodesk/neurocontainers/actions/runs/34134545602/job/101782352868
mne | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300917244
